标定日,窗口起,参数,窗口实际总费用_元,选中
2025-02-01,2025-01-01,"α=0.50, ρ=0.0, λ=0.00",2449165.315038,False
2025-02-01,2025-01-01,"α=0.50, ρ=0.0, λ=0.60",2442927.452152,False
2025-02-01,2025-01-01,"α=0.50, ρ=1.0, λ=0.00",2396422.884497,False
2025-02-01,2025-01-01,"α=0.50, ρ=1.0, λ=0.60",2392162.21375,False
2025-02-01,2025-01-01,"α=0.60, ρ=0.0, λ=0.00",2338974.470774,False
2025-02-01,2025-01-01,"α=0.60, ρ=0.0, λ=0.60",2337679.588546,False
2025-02-01,2025-01-01,"α=0.60, ρ=1.0, λ=0.00",2301727.618213,False
2025-02-01,2025-01-01,"α=0.60, ρ=1.0, λ=0.60",2299281.524706,False
2025-02-01,2025-01-01,"α=0.70, ρ=0.0, λ=0.00",2258916.067951,False
2025-02-01,2025-01-01,"α=0.70, ρ=0.0, λ=0.60",2259440.11271,False
2025-02-01,2025-01-01,"α=0.70, ρ=1.0, λ=0.00",2238269.527678,False
2025-02-01,2025-01-01,"α=0.70, ρ=1.0, λ=0.60",2237966.232929,False
2025-02-01,2025-01-01,"α=0.80, ρ=0.0, λ=0.00",2259793.656807,False
2025-02-01,2025-01-01,"α=0.80, ρ=0.0, λ=0.60",2261806.285164,False
2025-02-01,2025-01-01,"α=0.80, ρ=1.0, λ=0.00",2235541.987214,True
2025-02-01,2025-01-01,"α=0.80, ρ=1.0, λ=0.60",2236682.388307,False
2025-02-01,2025-01-01,"α=0.90, ρ=0.0, λ=0.00",2337249.486477,False
2025-02-01,2025-01-01,"α=0.90, ρ=0.0, λ=0.60",2340751.678963,False
2025-02-01,2025-01-01,"α=0.90, ρ=1.0, λ=0.00",2315155.938653,False
2025-02-01,2025-01-01,"α=0.90, ρ=1.0, λ=0.60",2318152.12238,False
2025-03-15,2025-02-08,"α=0.50, ρ=0.0, λ=0.00",1571783.906576,False
2025-03-15,2025-02-08,"α=0.50, ρ=0.0, λ=0.60",1565409.018528,False
2025-03-15,2025-02-08,"α=0.50, ρ=1.0, λ=0.00",1542385.242184,False
2025-03-15,2025-02-08,"α=0.50, ρ=1.0, λ=0.60",1540119.910232,False
2025-03-15,2025-02-08,"α=0.60, ρ=0.0, λ=0.00",1490711.606986,False
2025-03-15,2025-02-08,"α=0.60, ρ=0.0, λ=0.60",1488054.909683,False
2025-03-15,2025-02-08,"α=0.60, ρ=1.0, λ=0.00",1486443.216123,False
2025-03-15,2025-02-08,"α=0.60, ρ=1.0, λ=0.60",1485724.563729,False
2025-03-15,2025-02-08,"α=0.70, ρ=0.0, λ=0.00",1438874.239269,False
2025-03-15,2025-02-08,"α=0.70, ρ=0.0, λ=0.60",1439454.179585,False
2025-03-15,2025-02-08,"α=0.70, ρ=1.0, λ=0.00",1450487.930153,False
2025-03-15,2025-02-08,"α=0.70, ρ=1.0, λ=0.60",1451066.689082,False
2025-03-15,2025-02-08,"α=0.80, ρ=0.0, λ=0.00",1425263.612141,True
2025-03-15,2025-02-08,"α=0.80, ρ=0.0, λ=0.60",1426941.83908,False
2025-03-15,2025-02-08,"α=0.80, ρ=1.0, λ=0.00",1441550.575339,False
2025-03-15,2025-02-08,"α=0.80, ρ=1.0, λ=0.60",1442925.94623,False
2025-03-15,2025-02-08,"α=0.90, ρ=0.0, λ=0.00",1447117.349136,False
2025-03-15,2025-02-08,"α=0.90, ρ=0.0, λ=0.60",1449674.920051,False
2025-03-15,2025-02-08,"α=0.90, ρ=1.0, λ=0.00",1457941.822205,False
2025-03-15,2025-02-08,"α=0.90, ρ=1.0, λ=0.60",1460383.413691,False
