日期,时段起,时段止,电价_元每kWh,预测负载_kWh,预测光伏_kWh,净负荷预测_kWh,风险余量_kWh,风险净负荷_kWh,参考储电量_kWh,实际负载_kWh,实际光伏_kWh,计划购电_kWh,实际充电_kWh,实际放电_kWh,紧急购电_kWh,弃电_kWh,期初储电量_kWh,期末储电量_kWh,计划费_元,紧急费_元
2025-02-01,0:00,0:10,0.4248,453.228287,0.0,453.228287,27.889851,481.118138,7858.90851,422.030367,0.0,1314.451471,833.333333,0.0,0.0,59.087771,7108.90851,7858.90851,558.378985,0.0
2025-02-01,0:10,0:20,0.4245,446.979233,0.0,446.979233,17.999223,464.978457,8608.90851,415.407317,0.0,1298.31179,833.333333,0.0,0.0,49.57114,7858.90851,8608.90851,551.133355,0.0
2025-02-01,0:20,0:30,0.4269,443.656667,0.0,443.656667,21.520154,465.176821,9358.90851,410.716667,0.0,1298.510154,833.333333,0.0,0.0,54.460154,8608.90851,9358.90851,554.333985,0.0
2025-02-01,0:30,0:40,0.4272,470.654947,0.0,470.654947,29.201371,499.856318,9358.90851,430.2948,0.0,499.856318,69.561518,0.0,0.0,0.0,9358.90851,9421.513877,213.538619,0.0
2025-02-01,0:40,0:50,0.4271,485.456785,0.0,485.456785,30.245861,515.702645,10050.0,424.410583,0.0,1283.582078,833.333333,0.0,0.0,25.838162,9421.513877,10171.513877,548.217906,0.0
2025-02-01,0:50,1:00,0.4285,480.289103,0.0,480.289103,46.07259,526.361692,10050.0,406.051667,0.0,526.361692,120.310026,0.0,0.0,0.0,10171.513877,10279.7929,225.545985,0.0
2025-02-01,1:00,1:10,0.4311,485.208324,0.0,485.208324,26.310581,511.518906,10050.0,436.750183,0.0,511.518906,74.768722,0.0,0.0,0.0,10279.7929,10347.08475,220.5158,0.0
2025-02-01,1:10,1:20,0.4302,473.633736,0.0,473.633736,33.030853,506.664589,10050.0,451.797683,0.0,506.664589,54.866906,0.0,0.0,0.0,10347.08475,10396.464965,217.967106,0.0
2025-02-01,1:20,1:30,0.4279,458.871538,0.0,458.871538,32.876667,491.748205,10050.0,446.08,0.0,491.748205,45.668205,0.0,0.0,0.0,10396.464965,10437.56635,210.419057,0.0
2025-02-01,1:30,1:40,0.4312,485.020019,0.0,485.020019,32.187025,517.207044,10050.0,471.766333,0.0,517.207044,45.440711,0.0,0.0,0.0,10437.56635,10478.462989,223.019677,0.0
2025-02-01,1:40,1:50,0.4333,503.316331,0.0,503.316331,19.18045,522.496781,10050.0,448.025967,0.0,522.496781,74.470814,0.0,0.0,0.0,10478.462989,10545.486722,226.397855,0.0
2025-02-01,1:50,2:00,0.4311,497.295897,0.0,497.295897,41.760795,539.056692,10050.0,397.403333,0.0,539.056692,141.653359,0.0,0.0,0.0,10545.486722,10672.974745,232.38734,0.0
2025-02-01,2:00,2:10,0.4293,498.398455,0.0,498.398455,28.089844,526.488299,10050.0,434.090633,0.0,526.488299,92.397666,0.0,0.0,0.0,10672.974745,10756.132644,226.021427,0.0
2025-02-01,2:10,2:20,0.4324,505.212518,0.0,505.212518,33.994252,539.20677,10050.0,490.560917,0.0,539.20677,48.645853,0.0,0.0,0.0,10756.132644,10799.913912,233.153007,0.0
2025-02-01,2:20,2:30,0.4367,507.198333,0.0,507.198333,23.702487,530.900821,10050.0,503.22,0.0,530.900821,0.095653,0.0,0.0,27.585167,10799.913912,10800.0,231.844388,0.0
2025-02-01,2:30,2:40,0.4348,499.649354,0.0,499.649354,17.344449,516.993803,10050.0,474.072817,0.0,516.993803,0.0,0.0,0.0,42.920986,10800.0,10800.0,224.788906,0.0
2025-02-01,2:40,2:50,0.4335,501.380896,0.0,501.380896,30.311205,531.692102,10050.0,461.3844,0.0,531.692102,0.0,0.0,0.0,70.307702,10800.0,10800.0,230.488526,0.0
2025-02-01,2:50,3:00,0.4357,514.197564,0.0,514.197564,30.392911,544.590475,10050.0,476.941667,0.0,544.590475,0.0,0.0,0.0,67.648808,10800.0,10800.0,237.27807,0.0
2025-02-01,3:00,3:10,0.4374,520.266687,0.0,520.266687,20.061843,540.32853,10050.0,483.39955,0.0,540.32853,0.0,0.0,0.0,56.92898,10800.0,10800.0,236.339699,0.0
2025-02-01,3:10,3:20,0.4371,515.081158,0.0,515.081158,17.032628,532.113786,10050.0,486.601917,0.0,532.113786,0.0,0.0,0.0,45.511869,10800.0,10800.0,232.586936,0.0
2025-02-01,3:20,3:30,0.4356,504.479615,0.0,504.479615,20.89259,525.372205,10050.0,498.848333,0.0,525.372205,0.0,0.0,0.0,26.523872,10800.0,10800.0,228.852133,0.0
2025-02-01,3:30,3:40,0.4353,501.348545,0.0,501.348545,29.693134,531.041679,10050.0,518.309733,0.0,531.041679,0.0,0.0,0.0,12.731945,10800.0,10800.0,231.162443,0.0
2025-02-01,3:40,3:50,0.436,518.373268,0.0,518.373268,28.18993,546.563198,10050.0,509.133467,0.0,546.563198,0.0,0.0,0.0,37.429732,10800.0,10800.0,238.301555,0.0
2025-02-01,3:50,4:00,0.4378,537.597436,0.0,537.597436,27.692949,565.290385,10050.0,483.616667,0.0,565.290385,0.0,0.0,0.0,81.673718,10800.0,10800.0,247.48413,0.0
2025-02-01,4:00,4:10,0.4401,527.152818,0.0,527.152818,27.448163,554.600981,10050.0,491.1868,0.0,554.600981,0.0,0.0,0.0,63.414181,10800.0,10800.0,244.079892,0.0
2025-02-01,4:10,4:20,0.4389,520.128962,0.0,520.128962,29.955193,550.084155,10050.0,504.645283,0.0,550.084155,0.0,0.0,0.0,45.438872,10800.0,10800.0,241.431936,0.0
2025-02-01,4:20,4:30,0.4364,532.898077,0.0,532.898077,39.404128,572.302205,10050.0,505.578333,0.0,572.302205,0.0,0.0,0.0,66.723872,10800.0,10800.0,249.752682,0.0
2025-02-01,4:30,4:40,0.4393,549.362431,0.0,549.362431,35.552665,584.915096,10050.0,503.230967,0.0,584.915096,0.0,0.0,0.0,81.684129,10800.0,10800.0,256.953202,0.0
2025-02-01,4:40,4:50,0.4422,557.049924,0.000257,557.049667,32.119293,589.16896,10050.0,502.846983,0.000233,589.16896,0.0,0.0,0.0,86.32221,10800.0,10800.0,260.530514,0.0
2025-02-01,4:50,5:00,0.4395,552.429615,0.0,552.429615,23.277949,575.707564,10050.0,499.641667,0.0,575.707564,0.0,0.0,0.0,76.065897,10800.0,10800.0,253.023474,0.0
2025-02-01,5:00,5:10,0.4333,542.045963,0.0,542.045963,25.344123,567.390086,10050.0,488.783583,0.0,567.390086,0.0,0.0,0.0,78.606502,10800.0,10800.0,245.850124,0.0
2025-02-01,5:10,5:20,0.4439,541.488486,0.003627,541.484859,41.635632,583.12049,10050.0,498.51875,0.003317,583.12049,0.0,0.0,0.0,84.605057,10800.0,10800.0,258.847186,0.0
2025-02-01,5:20,5:30,0.4301,555.306154,0.0,555.306154,34.60141,589.907564,10050.0,529.223333,0.0,589.907564,0.0,0.0,0.0,60.684231,10800.0,10800.0,253.719243,0.0
2025-02-01,5:30,5:40,0.3713,571.074469,0.0,571.074469,31.231129,602.305599,10800.0,547.410317,0.0,1435.638932,0.0,0.0,0.0,888.228615,10800.0,10800.0,533.052735,0.0
2025-02-01,5:40,5:50,0.5708,563.220692,0.050477,563.170216,38.181277,601.351492,10800.0,531.2274,0.046233,601.351492,0.0,0.0,0.0,70.170326,10800.0,10800.0,343.251432,0.0
2025-02-01,5:50,6:00,0.9099,545.68859,0.0,545.68859,36.084103,581.772692,10153.585897,510.983333,0.0,0.0,0.0,510.983333,0.0,0.0,10800.0,10232.240741,0.0,0.0
2025-02-01,6:00,6:10,0.9368,555.840732,0.0,555.840732,15.622158,571.46289,9518.627131,535.187183,0.0,0.0,0.0,535.187183,0.0,0.0,10232.240741,9637.588315,0.0,0.0
2025-02-01,6:10,6:20,0.8758,556.386337,0.703088,555.683249,27.052978,582.736228,8871.142433,533.99935,0.644017,0.0,0.0,533.355333,0.0,0.0,9637.588315,9044.971278,0.0,0.0
2025-02-01,6:20,6:30,0.8759,543.336923,0.0,543.336923,27.990513,571.327436,8236.334171,504.52,0.0,0.0,0.0,504.52,0.0,0.0,9044.971278,8484.3935,0.0,0.0
2025-02-01,6:30,6:40,0.8601,557.325847,0.0,557.325847,24.091817,581.417665,7590.314544,519.553683,0.0,0.0,0.0,519.553683,0.0,0.0,8484.3935,7907.11163,0.0,0.0
2025-02-01,6:40,6:50,0.8442,605.973526,11.768044,594.205481,29.704409,623.909891,6897.081332,566.415,14.934917,0.0,0.0,551.480083,0.0,0.0,7907.11163,7294.355981,0.0,0.0
2025-02-01,6:50,7:00,0.8334,647.963846,50.291684,597.672162,25.314599,622.986761,6204.87382,608.791667,56.75,0.0,0.0,552.041667,0.0,0.0,7294.355981,6680.976352,0.0,0.0
2025-02-01,7:00,7:10,0.8092,633.501819,93.661334,539.840485,27.887763,567.728248,5574.064655,617.21405,102.656,0.0,0.0,514.55805,0.0,0.0,6680.976352,6109.245185,0.0,0.0
2025-02-01,7:10,7:20,0.7972,635.219713,139.153727,496.065986,22.200786,518.266773,4998.212686,595.396467,147.487917,0.0,0.0,447.90855,0.0,0.0,6109.245185,5611.569019,0.0,0.0
2025-02-01,7:20,7:30,0.7644,663.853077,186.849965,477.003112,41.272599,518.27571,4422.350786,579.536667,190.1125,0.0,0.0,389.424167,0.0,0.0,5611.569019,5178.8755,0.0,0.0
2025-02-01,7:30,7:40,0.6899,657.672723,235.452662,422.220061,33.666476,455.886537,3915.810189,609.000367,231.346617,0.0,0.0,377.65375,0.0,0.0,5178.8755,4759.260222,0.0,0.0
2025-02-01,7:40,7:50,0.86,636.185641,283.484596,352.701045,14.24574,366.946785,3508.091539,640.236683,279.075333,0.0,0.0,361.16135,0.0,0.0,4759.260222,4357.969833,0.0,0.0
2025-02-01,7:50,8:00,1.1617,624.720513,331.96822,292.752293,28.84139,321.593683,3150.765225,633.941667,334.01875,0.0,0.0,299.922917,0.0,0.0,4357.969833,4024.722148,0.0,0.0
2025-02-01,8:00,8:10,1.1683,629.261568,382.735234,246.526334,32.489382,279.015716,2840.747762,590.91065,388.684417,0.0,0.0,202.226233,0.0,0.0,4024.722148,3800.026333,0.0,0.0
2025-02-01,8:10,8:20,1.0956,640.498981,431.097313,209.401668,32.376709,241.778377,2572.105121,568.558167,438.765567,0.0,0.0,129.7926,0.0,0.0,3800.026333,3655.812333,0.0,0.0
2025-02-01,8:20,8:30,1.0849,646.576667,479.00217,167.574497,42.185654,209.760151,2339.038286,574.228333,487.94375,0.0,0.0,86.284583,0.0,0.0,3655.812333,3559.940574,0.0,0.0
2025-02-01,8:30,8:40,1.061,645.449532,532.743707,112.705825,37.847576,150.553401,2171.75673,577.852317,541.883167,0.0,0.0,35.96915,0.0,0.0,3559.940574,3519.974852,0.0,0.0
2025-02-01,8:40,8:50,1.043,668.135818,583.206853,84.928965,38.485359,123.414324,2034.629703,649.080033,586.6261,0.0,0.0,62.453933,0.0,0.0,3519.974852,3450.581593,0.0,0.0
2025-02-01,8:50,9:00,1.036,714.027308,626.014948,88.01236,50.444689,138.457049,1880.788537,737.126667,621.95,0.0,0.0,115.176667,0.0,0.0,3450.581593,3322.607519,0.0,0.0
2025-02-01,9:00,9:10,1.0147,745.376481,666.751982,78.624499,32.722747,111.347246,1757.069375,711.253417,665.4293,0.0,0.0,45.824117,0.0,0.0,3322.607519,3271.691833,0.0,0.0
2025-02-01,9:10,9:20,0.9922,737.520526,715.284795,22.235731,26.539725,48.775456,1702.874424,698.3617,729.7222,0.0,31.3605,0.0,0.0,0.0,3271.691833,3299.916283,0.0,0.0
2025-02-01,9:20,9:30,0.97,717.775128,763.510086,-45.734958,29.994259,-15.740698,1717.041052,736.386667,798.0875,0.0,61.700833,0.0,0.0,0.0,3299.916283,3355.447033,0.0,0.0
2025-02-01,9:30,9:40,0.9422,736.861899,795.104311,-58.242412,52.645478,-5.596934,1722.078293,733.212567,838.320683,0.0,105.108117,0.0,0.0,0.0,3355.447033,3450.044338,0.0,0.0
2025-02-01,9:40,9:50,0.9569,748.221986,835.16273,-86.940744,47.603652,-39.337092,1757.481676,697.122367,867.319617,0.0,170.19725,0.0,0.0,0.0,3450.044338,3603.221863,0.0,0.0
2025-02-01,9:50,10:00,0.9977,729.870513,885.630805,-155.760293,44.135182,-111.62511,1857.944276,678.588333,894.01875,0.0,215.430417,0.0,0.0,0.0,3603.221863,3797.109238,0.0,0.0
2025-02-01,10:00,10:10,0.9919,710.755741,922.965459,-212.209718,53.635702,-158.574015,2000.660889,711.4322,911.849833,0.0,200.417633,0.0,0.0,0.0,3797.109238,3977.485108,0.0,0.0
2025-02-01,10:10,10:20,0.9588,723.443858,955.659432,-232.215574,54.442274,-177.7733,2160.656859,706.70705,933.627233,0.0,226.920183,0.0,0.0,0.0,3977.485108,4181.713273,0.0,0.0
2025-02-01,10:20,10:30,0.9549,745.878333,980.999355,-235.121022,66.615701,-168.505321,2312.311648,666.993333,959.21875,0.0,292.225417,0.0,0.0,0.0,4181.713273,4444.716148,0.0,0.0
2025-02-01,10:30,10:40,0.9839,726.078096,986.357039,-260.278943,33.474152,-226.804791,2516.43596,678.720433,979.808167,0.0,301.087733,0.0,0.0,0.0,4444.716148,4715.695108,0.0,0.0
2025-02-01,10:40,10:50,0.799,710.127415,996.579809,-286.452394,35.566911,-250.885483,2742.232894,678.1305,1021.3479,0.0,343.2174,0.0,0.0,0.0,4715.695108,5024.590768,0.0,0.0
2025-02-01,10:50,11:00,0.5025,719.801667,1018.633435,-298.831768,32.617776,-266.213993,2981.825488,652.925,1060.275,0.0,407.35,0.0,0.0,0.0,5024.590768,5391.205768,0.0,0.0
