date,plan_kwh,emg_kwh,total_kwh,cost_plan,cost_emg,cost_total,charge_kwh,dischg_kwh,dump_kwh,E0,E144,E_min,E_max,emg_segments,emg_events,load_kwh,pv_kwh,params,rule
2025-02-01,45654.596452,0.0,45654.596452,23965.981017,0.0,23965.981017,18692.38072,14725.126412,7309.16621,2287.67832,2749.5694,2044.758703,10800.0,0,0,76305.206283,41927.03035,"α=0.75, ρ=0.9, λ=0.00",greedy
2025-02-02,91480.65136,0.0,91480.65136,58288.764606,0.0,58288.764606,21204.129944,17300.315508,9220.558973,2749.5694,2610.713564,1726.364925,10800.0,0,0,121705.97265,43349.6947,"α=0.75, ρ=0.9, λ=0.00",greedy
2025-02-03,89899.148439,0.0,89899.148439,57036.485643,0.0,57036.485643,21932.155738,17929.546259,5679.622459,2610.713564,2427.935663,1618.76022,10800.0,0,0,122603.769,42386.8525,"α=0.75, ρ=0.9, λ=0.00",greedy
2025-02-04,89748.347696,0.0,89748.347696,56816.736492,0.0,56816.736492,23566.297477,19223.642097,4210.828367,2427.935663,2278.001062,1736.76074,10800.0,0,0,121578.09885,40383.2349,"α=0.75, ρ=0.9, λ=0.00",greedy
2025-02-05,89118.433197,0.0,89118.433197,56360.466252,0.0,56360.466252,23251.727543,18958.875258,4077.153929,2278.001062,2139.138897,1477.971607,10800.0,0,0,121991.084433,41242.65745,"α=0.75, ρ=0.9, λ=0.00",greedy
2025-02-06,89918.757204,22.77107,89941.528274,57040.175493,132.850291,57173.025784,22431.439771,18181.6785,5420.709786,2139.138897,2125.569691,1668.00936,10800.0,2,1,122252.1627,41981.105483,"α=0.75, ρ=0.9, λ=0.00",greedy
2025-02-07,43045.600654,0.0,43045.600654,22319.769033,0.0,22319.769033,19291.786178,15842.249106,7790.383915,2125.569691,1885.678245,1443.181624,10800.0,0,0,76168.596933,44362.917267,"α=0.75, ρ=0.9, λ=0.00",greedy
2025-02-08,39814.467643,0.0,39814.467643,20704.008694,0.0,20704.008694,18788.745014,15174.464274,4623.024186,1885.678245,1935.032897,1362.305187,10800.0,0,0,75746.787517,44169.6248,"α=0.75, ρ=0.9, λ=0.00",greedy
2025-02-09,85532.502148,0.0,85532.502148,53772.961273,0.0,53772.961273,23678.476937,19386.40223,1685.011475,1935.032897,1705.215218,1421.324538,10800.0,0,0,121547.903567,41992.4876,"α=0.75, ρ=0.9, λ=0.00",greedy
2025-02-10,86547.40999,0.0,86547.40999,54400.612022,0.0,54400.612022,20576.839878,16774.365344,8418.297872,1705.215218,1586.187394,1405.229696,10800.0,0,0,121477.564517,47150.926933,"α=0.75, ρ=0.9, λ=0.00",greedy
2025-02-11,84928.248776,0.0,84928.248776,53113.279469,0.0,53113.279469,22460.459927,18235.319137,5482.510853,1586.187394,1539.13562,1204.05828,10800.0,0,0,121441.281617,46220.684483,"α=0.75, ρ=0.9, λ=0.00",greedy
