day,total,plan_adj,emg,gP,gA,up,dn,r,w,charge,discharge,E0,E144,Emin,Emax,nsub
31,23221.678285265756,22022.40265629485,1199.275628970905,43826.049724,40331.644335000005,160.23934,3654.6447289999996,226.68317416666474,3119.056543835396,19144.061443497936,16082.9664115,6473.7841061851905,5833.476725888889,1200.0,10800.0,40
32,57314.83779841162,54828.771668198104,2486.0661302135204,90666.81847299999,84527.829239,0.0,6138.989234,381.9645872333314,2095.1843605473337,22925.346147119337,18467.014631433332,5833.476725888889,5947.383112259259,1200.0,10800.0,73
33,57032.88210436985,55994.9665411272,1037.9155632426477,92007.27668000001,86362.476933,94.16920999999999,5738.968957000001,148.78376766666395,1633.369472156384,23757.68373917695,19096.709010666666,5947.383112259259,6110.732910111111,1200.0,10800.0,72
34,59600.5437624889,58218.8556532229,1381.688109266002,94718.11955599999,87554.245229,461.01561999999996,7624.889946999999,223.46439060000017,2437.1157838271683,23439.0861228395,19293.356237066662,6110.732910111111,5768.847935037037,1200.0,10800.0,70
35,58135.44804393494,55420.832754599,2714.6152893359417,88672.69493299999,86675.35472199999,495.123872,2492.464083,404.77201229999866,1664.9803709917742,23498.9311026749,18832.211722699998,5768.847935037037,5993.206235555555,1200.0,10800.0,62
36,57977.48172988206,57891.27247311423,86.20925676783479,94863.47654100001,86362.1540185,504.88019699999995,9006.202719500001,16.24021600000026,1725.9333683127588,23434.527988687245,19053.124339166665,5993.206235555555,5914.143270744453,1210.0349214111181,10800.0,75
37,24716.108491741692,21502.0589773481,3214.0495143935923,44249.010904,39925.575240000006,0.0,4323.435664,547.1538675000012,5082.210305761327,19304.205170572008,15719.366035499997,5914.143270744453,5821.965662592593,1200.0,10800.0,41
38,20304.994116668884,20248.7465493922,56.24756727668648,36124.057328,37541.446324000004,1417.3889960000001,0.0,9.201303333336575,1731.6024388148157,19752.248811851852,15510.366339999997,5821.965662592593,6365.249215481482,1200.0,10800.0,34
39,55342.341132600806,55342.341132600806,0.0,85822.186341,85699.530323,1652.682069,1775.338087,0.0,1932.8949137654427,22545.26871790123,18334.04927533333,6365.249215481482,6284.8252001111105,1408.4584217407405,10800.0,68
40,50670.607942852344,50653.334621137845,17.27332171450037,82757.4668445,79190.645877,269.6877559999999,3836.5087235000005,3.944131000000084,789.1042368971275,23082.741635102873,19003.89344733333,6284.8252001111105,5943.855508000001,1274.9662882222217,10800.0,66
41,51790.0531521209,51365.40331198397,424.64984013692447,83085.7661113,80292.04659530001,480.222371,3273.941887,75.56019607333117,454.867270000006,24002.626295999995,19310.483907960002,5943.855508000001,6090.125943333333,1200.0,10800.0,55
42,52693.813430491224,52401.080129674854,292.73330081637107,83410.0699052,80354.677749,1026.0448800000001,4081.4370362,66.5497007333342,733.2855682716129,23552.145038395058,19130.939290266666,6090.125943333333,6030.457266481481,1200.0,10800.0,73
43,49344.80868449455,48669.816152925705,674.9925315688456,78444.536896,77244.4291659,989.5343628000003,2189.6420929,120.4656450999993,1616.8277581481498,22835.159131851855,18416.571095666666,6030.457266481481,6119.243712185185,1200.0,10800.0,64
44,20075.0198582264,20075.0198582264,0.0,35310.740008,36907.013365,1596.2733569999996,0.0,0.0,3259.2719260699578,18843.005752263376,14997.06613,6119.243712185185,6414.5420781111125,1483.2044259259264,10800.0,33
45,19142.1815833092,19142.1815833092,0.0,34589.426244,35427.689588999994,1041.632825,203.36948000000007,0.0,3159.5628197695487,17659.72018823045,14671.684518999999,6414.5420781111125,6006.418559740743,1281.2133591851878,10800.0,37
46,53291.07850020465,53140.59684061815,150.48165958650026,84309.803591,80211.94606500001,1511.4449849999999,5609.302511,33.076527000000056,254.7967658436263,23372.691724156375,18759.844997999997,6006.418559740743,6197.568891481483,1293.0982714814822,10800.0,69
47,51477.76647856183,50874.10446389801,603.6620146638253,83713.630702,75739.4511008,1282.9661650000007,9257.1457662,90.51912867332646,607.0600894238746,21682.145186576126,17643.098213193338,6197.568891481483,6108.057100296297,1200.0,10800.0,66
